,Unnamed: 0,number,variable,sum_var,pis,sum_pis,clust_threshold
30,30,30,297,307852,78,215729,../epiddrad/clust_85_outfiles/clust_85_stats.txt
31,31,31,230,314982,53,217372,../epiddrad/clust_85_outfiles/clust_85_stats.txt
32,32,32,202,321446,35,218492,../epiddrad/clust_85_outfiles/clust_85_stats.txt
33,33,33,159,326693,32,219548,../epiddrad/clust_85_outfiles/clust_85_stats.txt
34,34,34,116,330637,23,220330,../epiddrad/clust_85_outfiles/clust_85_stats.txt
35,35,35,83,333542,10,220680,../epiddrad/clust_85_outfiles/clust_85_stats.txt
36,36,36,98,337070,10,221040,../epiddrad/clust_85_outfiles/clust_85_stats.txt
37,37,37,45,338735,6,221262,../epiddrad/clust_85_outfiles/clust_85_stats.txt
38,38,38,35,340065,4,221414,../epiddrad/clust_85_outfiles/clust_85_stats.txt
39,39,39,21,340884,0,221414,../epiddrad/clust_85_outfiles/clust_85_stats.txt
40,40,40,11,341324,1,221454,../epiddrad/clust_85_outfiles/clust_85_stats.txt
0,0,0,80,0,1114,0,../epiddrad/clust_86_outfiles/clust_86_stats.txt
1,1,1,187,187,1010,1010,../epiddrad/clust_86_outfiles/clust_86_stats.txt
2,2,2,241,669,1004,3018,../epiddrad/clust_86_outfiles/clust_86_stats.txt
3,3,3,299,1566,922,5784,../epiddrad/clust_86_outfiles/clust_86_stats.txt
4,4,4,390,3126,1005,9804,../epiddrad/clust_86_outfiles/clust_86_stats.txt
5,5,5,474,5496,1081,15209,../epiddrad/clust_86_outfiles/clust_86_stats.txt
6,6,6,574,8940,1099,21803,../epiddrad/clust_86_outfiles/clust_86_stats.txt
7,7,7,700,13840,1084,29391,../epiddrad/clust_86_outfiles/clust_86_stats.txt
8,8,8,727,19656,1137,38487,../epiddrad/clust_86_outfiles/clust_86_stats.txt
9,9,9,851,27315,1240,49647,../epiddrad/clust_86_outfiles/clust_86_stats.txt
10,10,10,978,37095,1104,60687,../epiddrad/clust_86_outfiles/clust_86_stats.txt
11,11,11,964,47699,1038,72105,../epiddrad/clust_86_outfiles/clust_86_stats.txt
12,12,12,1109,61007,1103,85341,../epiddrad/clust_86_outfiles/clust_86_stats.txt
13,13,13,1075,74982,1014,98523,../epiddrad/clust_86_outfiles/clust_86_stats.txt
14,14,14,1013,89164,889,110969,../epiddrad/clust_86_outfiles/clust_86_stats.txt
15,15,15,1107,105769,815,123194,../epiddrad/clust_86_outfiles/clust_86_stats.txt
